INPUTS::035 - BASE PRICE::CODE,INPUTS::035 - BASE PRICE::BASE_FILE_CODE,INPUTS::035 - BASE PRICE::PART_NUMBER_CODE,INPUTS::035 - BASE PRICE::PART_OEM_ACTIVE_FLAG_CODE,INPUTS::035 - BASE PRICE::PART_OEM_SPECIAL_PRICING,INPUTS::035 - BASE PRICE::CURRENCY,INPUTS::P_BASE FILE::CODE,INPUTS::P_BASE FILE::CURRENCY_CODE,INPUTS::P_BASE FILE::CHANNEL_PRICING_CHANNEL_CODE,INPUTS::040 - PART OEM::PART_NUMBER_CODE,INPUTS::040 - PART OEM::OEM_CHANNEL_CODE,INPUTS::040 - PART OEM::ACTIVE_FLAG_CODE,INPUTS::040 - PART OEM::SPECIAL_PRICING_CODE,OUTPUTS::035 - BASE PRICE::CODE,OUTPUTS::035 - BASE PRICE::PART_OEM_ACTIVE_FLAG_CODE,OUTPUTS::035 - BASE PRICE::PART_OEM_SPECIAL_PRICING,OUTPUTS::035 - BASE PRICE::CURRENCY,AUTOMATED_STATUS,ADDITIONAL_COMMENTS
1-0006754600	,1,0006754600,NULL,NULL,CTT GBP,1,USD,15100,NULL,NULL,NULL,NULL,1-0006754600,NULL,NULL,USD,FAIL,Value from Test case: USD and value from result: CTT GBP do not match!
753-2134455PRX,753,2134455PRX,NULL,NULL,CTT EUR,753,CTT GBP,15100,NULL,NULL,NULL,NULL,753-2134455PRX,NULL,NULL,CTT GBP,FAIL,Value from Test case: CTT GBP and value from result: CTT EUR do not match!
754-2301173PEX,754,2301173PEX,NULL,NULL,USD,754,CTT EUR,15016,NULL,NULL,NULL,NULL,754-2301173PEX,NULL,NULL,CTT EUR,FAIL,Value from Test case: CTT EUR and value from result: USD do not match!
1-0006754600,1,0006754600,NULL,NULL,CTT GBP,1,USD,15100,NULL,NULL,NULL,NULL,1-0006754600,NULL,NULL,USD,FAIL,Value from Test case: USD and value from result: CTT GBP do not match!
1692-1834709PE,1692,1834709PE,Yes,Yes,USD,1692,CTT GBP,1007,1834709PE,1007,Yes,Yes,1692-1834709PE,Yes,Yes,USD,SUCCESS,
1-000479700,1,479700,NULL,NULL,CTT EUR,1,USD,15100,NULL,NULL,NULL,NULL,1-000479700,NULL,NULL,USD,FAIL,Value from Test case: USD and value from result: CTT EUR do not match!
12-304588400,12,304588400,Yes,NULL,CTT GBP,12,USD,20212,304588400,20212,Yes,NULL,12-304588400,Yes,NULL,USD,FAIL,Value from Test case: USD and value from result: CTT GBP do not match!
1-000479300,1,502900,NULL,NULL,USD,1,USD,15100,NULL,NULL,NULL,NULL,1-000479300,NULL,NULL,USD,SUCCESS,
1-000502900,1,479300,NULL,NULL,USD,1,USD,15100,NULL,NULL,NULL,NULL,1-000502900,NULL,NULL,USD,SUCCESS,
